Receipt Number,Menu Item,Quantity,Amount,Category,Void
1234,Bubble Tea - Matcha,1,3.5,Beverage,No
1234,Korean Fried Chicken,1,8.5,Appetizer,No
1235,Sundubu Jjigae,1,10,Food,No
1235,Mini Jeon,1,4.5,Appetizer,No
1236,Sundubu Jjigae,1,10,Food,No
1236,Kimchi Fried Rice,1,7,Food,No
1237,Sundubu Jjigae,1,10,Food,No
1237,Kimchi Jjigae,1,10,Food,No
1237,Green Tea,1,2,Beverage,No
1238,Kimchi Jjigae,1,10,Food,No
1238,Sundubu Jjigae,1,10,Food,No
1238,Korean Fried Chicken,1,8.5,Appetizer,No
1238,Green Tea,1,2,Beverage,No
1239,Sundubu Jjigae,1,10,Food,No
1239,Mini Jeon,1,4.5,Appetizer,No
1239,Kimchi Jjigae,1,10,Food,No
